station,rain_now_pct,rain_prev_hour_pct,rain_both_pct,temp_plus5C_vs_mean_pct,school_holiday_weekend_pct,school_holiday_weekday_pct
S+U Westhafen (Berlin),13.75,5.91,20.47,-6.25,-1.57,3.09
U Birkenstr. (Berlin),29.65,-4.96,23.23,-7.87,-2.28,-3.93
U Hansaplatz (Berlin),6.22,5.46,12.02,-8.48,5.23,5.74
U Turmstr. (Berlin),12.46,-6.07,5.63,-10.97,12.02,0.18
S+U Berlin Hauptbahnhof,13.95,0.88,14.95,-8.35,-5.28,0.23
U Bundestag (Berlin),1.41,17.99,19.65,-8.45,4.63,-3.11
U Kurfürstenstr. (Berlin),16.41,3.68,20.69,-7.23,5.03,2.56
U Mendelssohn-Bartholdy-Park (Berlin),5.58,9.02,15.1,-2.19,-3.34,-2.41
S+U Gesundbrunnen Bhf (Berlin),3.73,10.3,14.41,-8.36,10.21,3.96
U Voltastr. (Berlin),7.65,4.34,12.33,-6.9,-2.53,1.87
U Bernauer Str. (Berlin),10.31,-7.72,1.79,-13.17,0.0,2.61
U Reinickendorfer Str. (Berlin),24.23,-10.43,11.28,-9.44,7.29,5.57
U Amrumer Str. (Berlin),14.99,-0.36,14.57,-8.65,10.67,6.66
U Leopoldplatz (Berlin),7.09,8.98,16.7,-11.15,0.41,-1.64
U Seestr. (Berlin),9.21,3.58,13.12,-8.44,8.76,4.56
S+U Wedding (Berlin),15.59,-6.48,8.09,-9.63,2.39,1.79
U Nauener Platz (Berlin),9.44,-0.57,8.81,-11.07,5.26,2.83
U Osloer Str. (Berlin),21.81,-2.01,19.37,-9.41,9.61,-1.87
U Pankstr. (Berlin),11.9,3.16,15.43,-5.54,-6.54,-2.54
U Rehberge (Berlin),14.96,-6.19,7.85,-8.86,-6.37,-0.8
U Afrikanische Str. (Berlin),16.75,2.57,19.75,-9.11,4.09,1.28
U Kochstr. (Checkpoint Charlie) (Berlin),-0.77,22.47,21.53,-6.73,-6.24,-0.2
U Hallesches Tor (Berlin),9.23,4.19,13.81,-7.61,1.13,-5.48
U Moritzplatz (Berlin),14.58,4.14,19.32,-8.4,1.08,1.35
U Kottbusser Tor (Berlin),8.51,1.13,9.73,-7.4,3.53,-3.39
U Prinzenstr. (Berlin),4.91,8.69,14.03,-8.86,-7.83,-8.74
U Görlitzer Bahnhof (Berlin),0.33,15.52,15.9,-9.39,1.05,-0.55
U Schlesisches Tor (Berlin),15.91,-6.65,8.2,-7.99,-3.54,-5.65
U Gneisenaustr. (Berlin),16.59,-0.5,16.01,-9.9,-5.94,-1.67
U Schönleinstr. (Berlin),13.99,0.93,15.05,-10.43,2.7,2.91
U Südstern (Berlin),18.87,-4.75,13.23,-10.47,-1.81,-0.96
U Mehringdamm (Berlin),10.32,15.09,26.96,-8.88,-7.09,-3.59
U Platz der Luftbrücke (Berlin),5.68,1.96,7.75,-9.61,-1.01,0.12
U Gleisdreieck (Berlin),9.58,4.1,14.07,-6.26,-0.37,1.29
U Möckernbrücke (Berlin),5.35,11.12,17.06,-11.4,-3.17,-1.62
U Jakob-Kaiser-Platz (Berlin),6.86,17.99,26.09,-3.27,-6.24,-1.45
U Halemweg (Berlin),8.76,5.29,14.52,-5.46,1.78,-0.45
U Mierendorffplatz (Berlin),18.75,-4.56,13.33,-8.52,1.52,1.56
S+U Jungfernheide Bhf (Berlin),19.26,-1.22,17.8,-6.53,2.74,1.13
U Sophie-Charlotte-Platz (Berlin),4.57,-2.42,2.04,-6.13,1.37,2.26
U Deutsche Oper (Berlin),10.57,-1.85,8.52,-8.98,-10.12,-7.74
U Richard-Wagner-Platz (Berlin),19.6,5.19,25.8,-7.99,13.53,3.86
U Ernst-Reuter-Platz (Berlin),9.4,7.04,17.1,-8.21,5.94,1.47
S+U Zoologischer Garten Bhf (Berlin),11.96,-2.43,9.24,-10.95,2.35,2.1
U Augsburger Str. (Berlin),5.03,5.97,11.3,-9.05,5.77,5.48
U Kurfürstendamm (Berlin),5.41,6.67,12.44,-9.44,1.99,-1.72
U Uhlandstr. (Berlin),7.09,9.25,17.0,-7.73,1.86,-2.31
U Adenauerplatz (Berlin),11.14,7.0,18.92,-2.12,0.22,2.04
U Bismarckstr. (Berlin),16.84,8.65,26.94,-5.65,0.53,2.06
U Wilmersdorfer Str. (Berlin),4.68,13.93,19.26,-9.21,2.26,1.8
U Ruhleben (Berlin),10.24,-6.58,2.99,-6.33,4.17,0.29
U Olympia-Stadion (Berlin),9.34,3.68,13.36,-6.95,-2.94,-1.53
U Neu-Westend (Berlin),18.83,3.14,22.55,-6.33,-6.61,-2.94
U Theodor-Heuss-Platz (Berlin),4.5,7.97,12.82,-8.5,6.49,-6.11
U Kaiserdamm (Berlin),5.7,5.13,11.12,-6.85,12.01,-3.78
U Altstadt Spandau (Berlin),11.09,5.15,16.81,-9.19,16.84,3.61
S+U Rathaus Spandau (Berlin),9.77,-4.91,4.38,-8.89,-9.23,2.94
U Zitadelle (Berlin),5.08,5.28,10.63,-11.72,5.38,-3.12
U Paulsternstr. (Berlin),25.67,-9.86,13.28,-5.73,8.9,-0.85
U Haselhorst (Berlin),6.12,1.36,7.57,-7.78,-4.68,-2.74
U Siemensdamm (Berlin),22.1,-10.54,9.23,-8.81,-5.93,-0.4
U Rohrdamm (Berlin),7.82,4.44,12.61,-12.38,-0.54,3.7
U Fehrbelliner Platz (Berlin),14.26,-1.0,13.11,-9.24,6.05,2.04
U Blissestr. (Berlin),5.33,-5.8,-0.77,-8.45,-6.27,-2.6
U Konstanzer Str. (Berlin),12.82,11.87,26.21,-6.39,6.86,2.21
U Spichernstr. (Berlin),16.85,-1.11,15.56,-8.0,4.79,-1.14
U Hohenzollernplatz (Berlin),14.11,9.59,25.05,-8.68,-3.42,1.51
U Güntzelstr. (Berlin),13.91,9.45,24.68,-11.01,3.24,-0.93
U Berliner Str. (Berlin),16.48,-2.3,13.8,-10.36,-0.7,0.54
S+U Bundesplatz (Berlin),4.82,4.85,9.91,-9.28,-0.02,1.99
U Rüdesheimer Platz (Berlin),11.93,-0.85,10.99,-10.15,-9.41,-4.15
S+U Heidelberger Platz (Berlin),14.96,3.58,19.07,-4.26,-4.0,-3.04
U Krumme Lanke (Berlin),8.37,11.76,21.11,-7.61,1.39,4.28
U Onkel Toms Hütte (Berlin),9.58,7.93,18.27,-9.87,7.61,-1.3
U Freie Universität (Thielplatz) (Berlin),15.86,6.23,23.08,-8.83,3.89,-0.16
U Breitenbachplatz (Berlin),15.96,-0.42,15.47,-7.79,0.67,-0.15
U Oskar-Helene-Heim (Berlin),22.25,-7.27,13.36,-9.85,2.83,-0.27
U Podbielskiallee (Berlin),17.1,4.8,22.73,-5.26,-9.76,-1.85
U Dahlem-Dorf (Berlin),34.52,1.33,36.31,-6.03,-0.7,-0.42
U Kleistpark (Berlin),7.26,4.9,12.52,-12.14,-2.23,-3.52
U Eisenacher Str. (Berlin),8.67,1.05,9.81,-9.59,-5.43,-2.38
U Bayerischer Platz (Berlin),3.91,9.1,13.37,-9.97,0.14,0.04
U Wittenbergplatz (Berlin),12.77,-0.34,12.38,-8.67,3.62,4.2
U Nollendorfplatz (Berlin),17.0,4.38,22.12,-10.04,4.49,-6.86
U Bülowstr. (Berlin),11.91,4.89,17.38,-7.21,-6.07,-1.7
S+U Yorckstr. (Berlin),5.43,0.88,6.37,-9.0,11.91,-3.27
U Walther-Schreiber-Platz (Berlin),18.9,-5.42,12.45,-7.57,-0.47,3.79
U Friedrich-Wilhelm-Platz (Berlin),8.07,8.85,17.64,-9.28,6.83,4.24
S+U Rathaus Steglitz (Berlin),11.45,1.28,12.88,-6.59,6.7,-3.25
U Schloßstr. (Berlin),11.0,4.07,15.52,-12.13,-2.0,-1.62
U Paradestr. (Berlin),6.92,7.14,14.56,-6.19,-3.98,-3.39
S+U Tempelhof (Berlin),6.0,6.38,12.77,-9.41,1.32,-0.39
U Alt-Tempelhof (Berlin),6.68,8.08,15.29,-8.39,-0.18,1.33
U Kaiserin-Augusta-Str. (Berlin),24.41,0.8,25.4,-7.71,-1.93,1.57
U Ullsteinstr. (Berlin),13.78,1.72,15.74,-8.41,9.47,5.47
U Westphalweg (Berlin),17.97,-1.24,16.51,-5.54,9.53,-3.09
U Alt-Mariendorf (Berlin),8.58,8.97,18.32,-8.33,5.35,0.66
U Hermannplatz (Berlin),13.72,0.2,13.95,-5.84,-3.19,0.64
U Rathaus Neukölln (Berlin),17.69,-0.13,17.54,-7.68,13.28,-2.92
U Karl-Marx-Str. (Berlin),22.38,-4.13,17.33,-10.46,11.94,-2.33
S+U Neukölln (Berlin),10.09,3.82,14.31,-8.13,-8.44,-0.1
U Leinestr. (Berlin),18.22,0.73,19.09,-7.86,-1.96,-5.48
U Boddinstr. (Berlin),14.07,3.32,17.86,-7.94,-5.92,-0.84
S+U Hermannstr. (Berlin),14.16,2.73,17.27,-7.23,4.76,-1.25
U Blaschkoallee (Berlin),15.23,5.68,21.77,-6.25,-0.76,-3.62
U Grenzallee (Berlin),25.32,-11.81,10.52,-10.0,0.24,-2.5
U Parchimer Allee (Berlin),10.83,9.06,20.87,-3.59,9.58,-2.95
U Britz-Süd (Berlin),18.78,-8.27,8.96,-8.31,-1.8,9.89
U Lipschitzallee (Berlin),30.08,-0.93,28.86,-7.53,0.22,-3.69
U Johannisthaler Chaussee (Berlin),14.95,-3.88,10.49,-11.54,2.83,2.65
U Zwickauer Damm (Berlin),9.1,15.59,26.11,-5.41,-1.5,0.83
U Wutzkyallee (Berlin),9.18,-3.09,5.8,-11.72,-1.71,2.68
U Rudow (Berlin),31.63,-10.97,17.19,-10.02,5.16,0.47
U Paracelsus-Bad (Berlin),31.88,-3.08,27.81,-8.3,1.77,-1.67
U Franz-Neumann-Platz (Berlin),9.66,1.94,11.79,-6.94,2.56,4.63
U Residenzstr. (Berlin),21.36,-7.63,12.11,-8.59,-1.04,-0.64
U Kurt-Schumacher-Platz (Berlin),13.07,10.98,25.49,-6.74,4.66,-6.94
U Lindauer Allee (Berlin),3.2,16.54,20.27,-4.48,-13.74,-9.37
S+U Wittenau (Berlin),26.35,-7.06,17.43,-5.72,-1.28,-3.49
U Rathaus Reinickendorf (Berlin),16.31,-0.45,15.79,-8.84,-0.23,-6.65
S+U Karl-Bonhoeffer-Nervenklinik (Berlin),25.82,-7.36,16.56,-7.34,-4.65,-1.32
S+U Friedrichstr. Bhf (Berlin),30.02,-8.47,19.01,-9.45,3.55,4.62
S+U Alexanderplatz Bhf (Berlin),6.24,10.96,17.89,-4.15,-2.8,3.92
S+U Jannowitzbrücke (Berlin),-3.55,1.8,-1.82,-7.56,-0.93,3.28
U Heinrich-Heine-Str. (Berlin),17.6,-2.59,14.55,-8.68,-0.62,2.47
U Naturkundemuseum (Berlin),28.04,-7.74,18.14,-8.89,9.24,1.38
U Anton-Wilhelm-Amo-Str. (Berlin),12.72,8.64,22.46,-6.87,-0.23,-1.39
U Stadtmitte (Berlin),20.43,-4.42,15.11,-6.5,2.41,-1.01
U Hausvogteiplatz (Berlin),16.13,7.72,25.1,-7.07,-17.85,2.12
U Spittelmarkt (Berlin),-1.69,12.94,11.03,-5.92,1.19,-0.6
U Märkisches Museum (Berlin),10.28,5.34,16.18,-6.91,-0.08,3.1
U Klosterstr. (Berlin),8.16,5.45,14.05,-6.82,-2.76,-1.09
U Rosa-Luxemburg-Platz (Berlin),20.39,-6.55,12.5,-5.48,-4.44,-2.12
U Schillingstr. (Berlin),-0.26,8.85,8.57,-9.82,-0.96,1.61
U Oranienburger Tor (Berlin),-3.01,14.63,11.17,-7.25,-6.08,-3.23
S+U Potsdamer Platz Bhf (Berlin),5.74,8.08,14.29,-2.15,-2.32,1.59
U Rosenthaler Platz (Berlin),10.7,13.91,26.1,-5.19,0.02,1.18
S+U Brandenburger Tor (Berlin),16.59,0.67,17.37,-7.77,-0.64,0.65
U Rotes Rathaus (Berlin),12.94,6.57,20.36,-7.63,-1.51,3.06
U Weinmeisterstr. (Berlin),16.15,4.41,21.26,-7.16,7.02,-4.67
U Schwartzkopffstr. (Berlin),11.01,1.1,12.23,-5.33,6.2,0.44
U Unter den Linden (Berlin),0.37,6.18,6.57,-9.7,13.72,7.84
U Museumsinsel (Berlin),5.2,7.44,13.03,-3.81,8.51,0.54
S+U Schönhauser Allee (Berlin),14.14,-3.04,10.67,-8.25,1.26,-1.96
U Senefelderplatz (Berlin),16.77,-1.11,15.47,-7.01,-4.41,-5.58
U Eberswalder Str. (Berlin),8.05,0.57,8.66,-6.12,2.01,-6.91
S+U Frankfurter Allee (Berlin),-1.71,10.98,9.08,-12.44,9.97,2.73
S+U Warschauer Str. (Berlin),18.68,-7.59,9.67,-7.98,-9.0,-4.58
U Strausberger Platz (Berlin),21.94,-13.73,5.19,-13.08,2.73,-1.18
U Frankfurter Tor (Berlin),3.55,-0.8,2.73,-12.65,-5.38,3.64
U Samariterstr. (Berlin),27.84,-6.04,20.12,-8.59,-5.38,-0.01
U Weberwiese (Berlin),14.17,3.01,17.6,-9.58,1.21,5.56
S+U Pankow (Berlin),5.85,12.54,19.13,-6.9,1.38,-2.42
U Vinetastr. (Berlin),9.54,1.62,11.31,-9.91,-7.47,2.87
S+U Lichtenberg Bhf (Berlin),12.04,1.85,14.11,-8.64,0.81,2.86
U Magdalenenstr. (Berlin),4.68,13.13,18.43,-10.07,3.4,-3.41
U Tierpark (Berlin),13.88,-6.17,6.86,-5.51,11.01,6.74
U Friedrichsfelde (Berlin),18.43,1.09,19.72,-7.04,5.62,-4.8
