type,bin,per_doubling_pct,ci_low_pct,ci_high_pct,n_events
Arts & Theatre,during,-55.67765344071738,-81.32265533193733,5.179319621396528,240
Arts & Theatre,post1,4.773473508175585,-69.01932565566781,254.3331765138504,240
Arts & Theatre,post2,12.146409739986996,-66.85641056051817,279.46454896001984,240
Arts & Theatre,pre1,-67.95934718269191,-90.51860031244559,8.275514880658763,240
Arts & Theatre,pre2,-62.42230405320102,-88.8776820042318,26.959437161150923,240
Arts & Theatre,pre3,-24.116915638561963,-77.54801667468584,156.46921293197371,240
Music,during,10.948465332596324,-53.801116662445935,166.4471751344725,87
Music,post1,-34.64243366023231,-85.72306755885994,199.19672839160933,87
Music,post2,44.82590260232402,-68.46488866773896,565.1171084695197,87
Music,pre1,104.81003842344285,-53.983270620060296,811.5630859523527,87
Music,pre2,48.0155786387289,-66.74190190526213,558.7451710963634,87
Music,pre3,39.392455406491656,-68.51631989532146,517.1532857546532,87
