type,bin,hop,effect_pct,ci_low_pct,ci_high_pct,n_events,n_obs
Arts & Theatre,during,0,110.60451314110603,83.146000487193,142.17979555881098,240,479
Arts & Theatre,post1,0,298.1191898031724,226.76906838857337,385.0486310444091,240,239
Arts & Theatre,post2,0,247.5067260483863,185.18676007281894,323.44505971467055,240,239
Arts & Theatre,pre1,0,147.78453184647194,103.39154361036135,201.86689737698384,240,240
Arts & Theatre,pre2,0,148.78670034615976,104.26609190316594,203.01075275122838,240,240
Arts & Theatre,pre3,0,129.9973580791958,89.00004130888286,179.88768868551358,240,240
Arts & Theatre,during,1,86.00470499068471,69.65080974996589,103.93507304599594,240,1075
Arts & Theatre,post1,1,258.4885917103785,214.6233179260171,308.469630393734,240,537
Arts & Theatre,post2,1,222.79978844364283,183.29002221754592,267.8198850902093,240,537
Arts & Theatre,pre1,1,124.8426428329203,97.29050059737929,156.24251488550237,240,538
Arts & Theatre,pre2,1,115.24573911862599,88.88730558102658,145.28238182130883,240,538
Arts & Theatre,pre3,1,119.19456911559925,92.40372633492746,149.7158451398001,240,538
Arts & Theatre,during,2,60.4670280745911,46.92675071332819,75.25513205782595,240,1207
Arts & Theatre,post1,2,155.76006874006504,125.9629766011162,189.48641828786958,240,603
Arts & Theatre,post2,2,127.82567096557086,101.27344120002269,157.88070220020018,240,603
Arts & Theatre,pre1,2,116.2480235878972,91.00613189474136,144.82568827393325,240,604
Arts & Theatre,pre2,2,112.25264589884331,87.50030866685576,140.2725948099915,240,604
Arts & Theatre,pre3,2,101.31327383820957,77.84695070338086,127.87590151630037,240,604
Miscellaneous,during,0,89.95157434556292,-31.608305391591873,427.57284057590834,5,9
Miscellaneous,post1,0,65.97827321408111,-64.0769884369903,666.8841219174241,5,4
Miscellaneous,post2,0,-5.916346801454797,-79.62967889821002,334.54071022995845,5,4
Miscellaneous,pre1,0,310.78796382714637,4.982803134243885,1507.3751718124026,5,5
Miscellaneous,pre2,0,178.95492031993086,-28.761077998869457,992.3220815927568,5,5
Miscellaneous,pre3,0,155.82268029204732,-34.64166077482598,901.3296624067149,5,5
Miscellaneous,during,1,5.276512243862008,-40.78876696271416,87.17975393710975,5,28
Miscellaneous,post1,1,10.206928788525005,-54.17932040163704,165.06737262432375,5,12
Miscellaneous,post2,1,-19.447260690210978,-66.52704003436575,93.85031431258662,5,12
Miscellaneous,pre1,1,23.575468318027415,-42.21678597959425,164.2791099267511,5,16
Miscellaneous,pre2,1,52.84471763173173,-28.424303031164598,226.38882605775504,5,16
Miscellaneous,pre3,1,45.153188577041384,-32.01960352325068,209.9341758221183,5,16
Miscellaneous,during,2,-23.23874655029863,-53.83924682286994,27.647181330840475,5,36
Miscellaneous,post1,2,-14.58330961901918,-61.07970758335399,87.4603334819724,5,15
Miscellaneous,post2,2,-42.53989163798709,-73.81138010801928,26.072472188016114,5,15
Miscellaneous,pre1,2,-8.172454087020375,-52.78713764851561,78.60171505012062,5,21
Miscellaneous,pre2,2,9.866342695613328,-43.362411496515804,113.12018354325586,5,21
Miscellaneous,pre3,2,17.65680519480435,-39.338767131120846,128.20379926287373,5,21
Music,during,0,11.220215517674248,-5.864418982021446,31.40553450703647,87,257
Music,post1,0,454.08076314789855,314.93351176497566,639.8908099388465,87,85
Music,post2,0,372.4642187892159,252.41257940075684,533.4122306748302,87,82
