type,event_id,bin,dev_log,dev_se,total_effect_pct,name,start,attendance
Arts & Theatre,ev_0,pre3,-0.0026701805874238577,0.09306059874081501,129.3840427941825,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_0,pre2,-0.002592542080292751,0.09298858457859999,148.1425457162822,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_0,pre1,-0.004657032851541534,0.0933358299956119,146.6332739451942,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_0,during,-0.002158158905210468,0.10312984843669579,110.15048524399296,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_0,post1,-0.002918809185353912,0.09403205906244574,296.95885008401206,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_0,post2,-0.002790970430736476,0.09369481412917077,246.53819724782252,Cirque du Soleil ALIZÉ,2026-06-10 18:30:00,771
Arts & Theatre,ev_1,pre3,-0.004519163799921128,0.09306065264332626,128.96030741036694,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Arts & Theatre,ev_1,pre2,-0.007230859697560708,0.09298863830291146,146.9942469208657,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Arts & Theatre,ev_1,pre1,-0.0027952352121281858,0.09333588435907082,147.09288290910666,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Arts & Theatre,ev_1,during,-0.0014397101009808253,0.10312999622354986,110.30152185836558,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Arts & Theatre,ev_1,post1,-0.007703461691900697,0.09403211483580108,295.0640764583874,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Arts & Theatre,ev_1,post2,-0.006929743095176701,0.09369486931677552,245.10691834195742,Lachkater - die Stand Up Comedy Show,2026-06-10 20:00:00,773
Music,ev_2,pre3,0.00034622219872667035,0.08800930411048416,-8.3513479248574,ivri,2026-06-10 20:00:00,1886
Music,ev_2,pre2,-0.0007399730998847063,0.08798354403596954,7.731619145023294,ivri,2026-06-10 20:00:00,1886
Music,ev_2,pre1,0.0016904556976664806,0.0882009940227836,28.08865493792321,ivri,2026-06-10 20:00:00,1886
Music,ev_2,during,-0.0037836939117080067,0.08702764462546225,10.800187395391013,ivri,2026-06-10 20:00:00,1886
Music,ev_2,post1,0.0009087409208939748,0.08921060590513569,454.58450786290285,ivri,2026-06-10 20:00:00,1886
Music,ev_2,post2,0.0025841123900879883,0.08945629100546086,373.6866982627668,ivri,2026-06-10 20:00:00,1886
Arts & Theatre,ev_3,pre3,-0.003849017055270754,0.0930610179208282,129.11379583917335,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_3,pre2,-0.004033187346660255,0.09298900238012908,147.7853177136115,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_3,pre1,-0.0034635005217783267,0.09333625276229338,146.9278144680965,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_3,during,-0.005261775007593118,0.10313099770135159,109.49926989801537,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_3,post1,-0.0047236977988003295,0.09403249275453975,296.2430297577894,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_3,post2,-0.0056937556405768945,0.0936952432782888,245.53372987603902,Cirque du Soleil ALIZÉ,2026-06-11 19:30:00,786
Arts & Theatre,ev_4,pre3,-0.0036545199294561437,0.09305872379679134,129.15836214781754,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_4,pre2,-0.0011232793632444406,0.0929867165552939,148.50740027518157,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_4,pre1,-0.0005212588274228308,0.09333393922071351,147.65540562896226,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_4,during,-0.011602733585094708,0.10312470615676658,108.17504656522657,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_4,post1,-0.0018024581421896024,0.09403011541045582,297.4022429553961,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_4,post2,-0.004765994396056521,0.09369289205557475,245.85445143280307,Lachkater - die Stand Up Comedy Show,2026-06-11 20:00:00,646
Arts & Theatre,ev_5,pre3,-0.004624841606566598,0.09306010889927588,128.93611266571722,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_5,pre2,-0.0014288098932639338,0.0929880989714781,148.43148527522737,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_5,pre1,-0.007878947535419106,0.09333533669963488,145.83992132186913,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_5,during,0.019734509927622275,0.10313005208310634,114.80197116054241,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_5,post1,0.01799285694490024,0.09403272105733358,305.34732381928154,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_5,post2,0.017895575041193643,0.09369547833054587,253.78153695748912,Cirque du Soleil ALIZÉ,2026-06-12 16:00:00,550
Arts & Theatre,ev_6,pre3,-0.0006137020582830176,0.09305919375103124,129.85625153026143,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,pre2,-0.00040406455092139134,0.09298780198430448,148.68619476654757,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,pre1,-0.008160703015273716,0.09333635770329886,145.77066433409573,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,during,-0.015050184467955344,0.10313072469326007,107.45860896843516,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,post1,-0.010254637878479023,0.09403193477758315,294.0574829390135,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Arts & Theatre,ev_6,post2,-0.006218093535365246,0.0936946906947878,245.3526009380703,Lachkater - die Stand Up Comedy Show,2026-06-12 19:00:00,587
Music,ev_7,pre3,0.0008129254555918426,0.08801027307044287,-8.308565217808816,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
Music,ev_7,pre2,-0.0007373408549574259,0.08798452656554881,7.731902721404538,FKA twigs - Body High Tour,2026-06-12 19:45:00,1636
